Species,Location,Latitude,Longitude,Observation Date
Catharus guttatus,"Issaquah, WA, USA",47.5594529903,-122.0628955045,2024-06-30
Bombycilla cedrorum,"Issaquah, WA, USA",47.564653809,-122.0557024026,2024-06-30
Colaptes auratus,"Lake Sammamish State Park, Issaquah, WA, US",47.5547369665,-122.066011669,2024-07-24
Anas platyrhynchos,"Lake Sammamish State Park, Issaquah, WA, US",47.5641866667,-122.0552278333,2024-07-24
Anas platyrhynchos,"Issaquah, WA, USA",47.5585777778,-122.0660333333,2024-07-02
Mergus merganser,"Issaquah, WA, USA",47.5614747539,-122.0655103878,2024-06-28
Anas platyrhynchos,"Issaquah, WA, USA",47.5590213269,-122.0660308344,2024-06-28
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5638038549,-122.0551513983,2024-06-28
Pandion haliaetus,"Issaquah, WA, USA",47.5642345589,-122.0559136318,2024-06-28
Petrochelidon pyrrhonota,"Providence Point, Issaquah, WA 98029, USA",47.5652372534,-122.049722609,2024-06-26
Haliaeetus leucocephalus,"4460 E Lake Sammamish Pkwy SE, Issaquah, WA 98029, USA",47.5647074,-122.0510959,2024-06-26
Colaptes auratus,"Providence Point, Issaquah, WA 98029, USA",47.5651938177,-122.0478557915,2024-06-26
Pheucticus melanocephalus,"Providence Point, Issaquah, WA 98029, USA",47.5656426518,-122.0496367783,2024-06-26
Piranga ludoviciana,"Providence Point, Issaquah, WA 98029, USA",47.5656517036,-122.0487362275,2024-06-26
Turdus migratorius,"Providence Point, Issaquah, WA 98029, USA",47.5655123455,-122.0490788788,2024-06-26
Patagioenas fasciata,"Providence Point, Issaquah, WA 98029, USA",47.5648677658,-122.0506345602,2024-06-26
Turdus migratorius,"Providence Point, Issaquah, WA 98029, USA",47.5648608092,-122.0504736275,2024-06-25
Junco hyemalis,"4460 E Lake Sammamish Pkwy SE, Issaquah, WA 98029, USA",47.5647074,-122.0510959,2024-06-25
Astur cooperii,"Providence Point, Issaquah, WA 98029, USA",47.5646043178,-122.0510580981,2024-06-25
