Species,Location,Latitude,Longitude,Observation Date
Bushtit,"Lawton Park, Seattle, WA 98199, USA",47.6628138889,-122.4220083333,2024-08-03
Barn Swallow,"Lawton Park, Seattle, WA 98199, USA",47.6571046125,-122.4189869754,2024-08-02
Bald Eagle,"Lawton Park, Seattle, WA 98199, USA",47.6606453096,-122.4189798138,2024-07-28
Cedar Waxwing,"Lawton Park, Seattle, WA 98199, USA",47.6606453096,-122.4189798138,2024-07-28
Cooper's Hawk,"Discovery Park, Seattle, WA, US",47.6641155097,-122.4177642838,2024-07-27
Dark-eyed Junco,"Discovery Park, Seattle, WA, US",47.6641994828,-122.4210063087,2024-07-27
Cedar Waxwing,"Discovery Park, Seattle, WA, US",47.6614413147,-122.4205831921,2024-07-27
Osprey,"Discovery Park, Seattle, WA, US",47.6619503868,-122.42371571,2024-07-27
Red-tailed Hawk,"Discovery Park, Seattle, WA, US",47.6634684801,-122.4199932122,2024-07-27
House Sparrow,"Lawton Park, Seattle, WA, US",47.6654400537,-122.4247495272,2024-07-25
Barred Owl,"Bernie Whitebear Way, Seattle, WA, US",47.66802,-122.4146416667,2024-07-26
California Gull,"Seattle, WA, US",47.6639308501,-122.4279272744,2024-07-25
Dark-eyed Junco,"Discovery Park, Seattle, WA, US",47.6568588198,-122.4213330672,2024-07-25
Great Blue Heron,"Discovery Park, Seattle, WA, US",47.6608347537,-122.4169464036,2024-07-25
Spotted Towhee,"Lawton Park, Seattle, WA 98199, USA",47.6662316667,-122.42381,2024-07-17
Bewick's Wren,"Lawton Park, Seattle, WA 98199, USA",47.6624683333,-122.432065,2024-07-17
Glaucous-winged Gull,"Discovery Park Beach, Fort Lawton Beach, 122.434422, Seattle, WA 98199, USA",47.6602666667,-122.4307533333,2024-07-17
Northern Flicker,"Lawton Park, Seattle, WA 98199, USA",47.6584216667,-122.4252066667,2024-07-17
White-throated Sparrow,"Lawton Park, Seattle, WA 98199, USA",47.6552016667,-122.4190416667,2024-07-17
Spotted Towhee,"Discovery Park, Seattle, WA, US",47.66307,-122.41278,2024-07-14
Savannah Sparrow,"Lawton Park, Seattle, WA 98199, USA",47.6565615171,-122.4141091721,2024-07-14
Great Blue Heron,"Seattle, WA, USA",47.6579629794,-122.4265631419,2024-07-14
Canada Goose,"Seattle, WA, USA",47.6578988664,-122.4264585082,2024-07-14
Anna's Hummingbird,"Lawton Park, Seattle, WA 98199, USA",47.6567247983,-122.4188963525,2024-07-14
Caspian Tern,"Seattle, WA, USA",47.6578392794,-122.4277977715,2024-07-14
Tree Swallow,"Lawton Park, Seattle, WA 98199, USA",47.6583307283,-122.4144315133,2024-07-14
Barn Swallow,"Lawton Park, Seattle, WA 98199, USA",47.6583143386,-122.4144297029,2024-07-14
American Robin,"Bernie Whitebear Way, Seattle, WA, US",47.6658235673,-122.4113103382,2024-07-14
Osprey,"Magnolia, Seattle, WA 98199, USA",47.6682387673,-122.4207126069,2024-07-13
Pileated Woodpecker,"Discovery Park, Seattle, WA, US",47.6646633333,-122.4189133333,2024-07-09
Barred Owl,"Discovery Park, Seattle, WA, US",47.661487961,-122.4246035483,2024-07-07
Spotted Towhee,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-17
Glaucous-winged Gull,"Discovery Park, Seattle, WA 98199, USA",47.6631984253,-122.4308312948,2024-06-17
Barred Owl,"Lawton Park, Seattle, WA 98199, USA",47.664687162,-122.4183854833,2024-06-23
Osprey,"Lawton Park, Seattle, WA 98199, USA",47.6612305556,-122.4339388889,2024-06-25
Corvus brachyrhynchos,"Lawton Park, Seattle, WA 98199, USA",47.6565873363,-122.418350982,2024-06-22
White-throated Sparrow,"Lawton Park, Seattle, WA 98199, USA",47.6591233715,-122.4116351978,2024-06-22
Rufous Hummingbird,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-17
Anna's Hummingbird,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-17
Purple Finch,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-17
Orange-crowned Warbler,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-17
Pacific-slope Flycatcher,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-17
Pine Grosbeak,"Discovery Park, Seattle, WA, US",47.6567833333,-122.4165116667,2024-04-06
Barred Owl,"Discovery Park, Seattle, WA, US",47.6667300026,-122.4185017295,2024-06-18
Killdeer,"Magnolia, Seattle, WA 98199, USA",47.6628656192,-122.4313653633,2024-02-17
Pileated Woodpecker,"Discovery Park, Seattle, WA, US",47.6617883333,-122.416205,2024-06-15
Northern Flicker,"Discovery Park, Seattle, WA, US",47.66102,-122.4160616667,2024-06-15
American Robin,"Discovery Park, Seattle, WA, US",47.663405,-122.419555,2024-05-27
Cedar Waxwing,"Bernie Whitebear Way, Seattle, WA, US",47.6674616667,-122.4172666667,2024-05-27
House Finch,"Discovery Park, Seattle, WA, US",47.661445,-122.4153583333,2024-06-15
Dark-eyed Junco,"Discovery Park, Seattle, WA, US",47.66072,-122.4209666667,2024-06-15
Rusty Blackbird,"Discovery Park, Seattle, WA, US",47.6663033333,-122.4168383333,2024-06-15
Spotted Towhee,"Bernie Whitebear Way, Seattle, WA, US",47.66702,-122.414825,2024-05-27
Barred Owl,"Lawton Park, Seattle, WA 98199, USA",47.6642459512,-122.4173310399,2024-06-16
Great Blue Heron,"Seattle, WA, USA",47.6680819218,-122.4207894132,2024-06-16
Bald Eagle,"Lawton Park, Seattle, WA 98199, USA",47.6613186014,-122.4171412736,2024-05-28
Cedar Waxwing,"Lawton Park, Seattle, WA 98199, USA",47.6567083333,-122.4205888889,2024-06-11
Pileated Woodpecker,"Lawton Park, Seattle, WA 98199, USA",47.6600885868,-122.4217382446,2024-06-10
Dark-eyed Junco,"Lawton Park, Seattle, WA 98199, USA",47.662166226,-122.4196094222,2024-06-08
Corvus brachyrhynchos,"Lawton Park, Seattle, WA 98199, USA",47.662166226,-122.4196094222,2024-06-08
Anna's Hummingbird,"Lawton Park, Seattle, WA 98199, USA",47.662166226,-122.4196094222,2024-06-08
Mallard,"Lawton Park, Seattle, WA 98199, USA",47.662166226,-122.4196094222,2024-06-08
Spotted Towhee,"Lawton Park, Seattle, WA 98199, USA",47.662166226,-122.4196094222,2024-06-08
Great Blue Heron,"Lawton Park, Seattle, WA 98199, USA",47.662166226,-122.4196094222,2024-06-08
Eastern Kingbird,"Lawton Park, Seattle, WA 98199, USA",47.661972,-122.433528,2024-06-08
House Finch,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-05
